app,category,rating,reviews,size,installs,type,price,content_rating,genres,last_updated,current_ver,android_ver
Sample App 40,SOCIAL,2.3,70464,67M,100+,Paid,0,Teen,ENTERTAINMENT,"July 1, 2023",1.0,4.1 and up
Sample App 41,SHOPPING,1.8,17873,38M,100+,Paid,0,Everyone 10+,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 42,COMMUNICATION,2.3,65644,27M,100+,Free,0,Everyone 10+,SHOPPING,"July 1, 2023",1.0,4.1 and up
Sample App 43,PRODUCTIVITY,3.7,62197,74M,"1,000,000+",Paid,$7.99,Everyone 10+,EDUCATION,"July 1, 2023",1.0,4.1 and up
Sample App 44,SOCIAL,4.3,94185,55M,"100,000+",Free,0,Everyone 10+,GAME,"July 1, 2023",1.0,4.1 and up
Sample App 45,TRAVEL,2.6,28051,49M,"100,000+",Paid,0,Mature 17+,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 46,TRAVEL,3.9,10027,73M,"1,000+",Paid,0,Everyone,COMMUNICATION,"July 1, 2023",1.0,4.1 and up
Sample App 47,SOCIAL,4.0,45067,84M,100+,Paid,$10.99,Mature 17+,FINANCE,"July 1, 2023",1.0,4.1 and up
Sample App 48,HEALTH_AND_FITNESS,1.7,31804,93M,100+,Paid,0,Everyone,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 49,SOCIAL,4.5,94029,59M,"1,000,000+",Paid,0,Everyone,TRAVEL,"July 1, 2023",1.0,4.1 and up
Sample App 50,ENTERTAINMENT,4.9,1627,72M,"100,000+",Paid,0,Everyone 10+,GAME,"July 1, 2023",1.0,4.1 and up
Sample App 51,EDUCATION,3.1,47267,23M,"100,000+",Paid,0,Everyone,COMMUNICATION,"July 1, 2023",1.0,4.1 and up
Sample App 52,SOCIAL,2.9,84750,69M,"1,000+",Free,0,Everyone 10+,SOCIAL,"July 1, 2023",1.0,4.1 and up
Sample App 53,FINANCE,2.4,14,52M,100+,Paid,0,Everyone 10+,FINANCE,"July 1, 2023",1.0,4.1 and up
Sample App 54,COMMUNICATION,2.7,54202,35M,100+,Paid,0,Teen,TRAVEL,"July 1, 2023",1.0,4.1 and up
Sample App 55,FINANCE,4.6,85859,66M,"10,000+",Paid,$4.99,Mature 17+,SHOPPING,"July 1, 2023",1.0,4.1 and up
Sample App 56,SHOPPING,2.4,66649,12M,"1,000+",Paid,0,Teen,FINANCE,"July 1, 2023",1.0,4.1 and up
Sample App 57,SHOPPING,2.4,23052,68M,"1,000,000+",Free,0,Everyone 10+,FINANCE,"July 1, 2023",1.0,4.1 and up
Sample App 58,FINANCE,4.3,33156,54M,"10,000+",Free,0,Everyone 10+,ENTERTAINMENT,"July 1, 2023",1.0,4.1 and up
Sample App 59,GAME,2.4,67155,73M,"10,000+",Paid,0,Everyone,SHOPPING,"July 1, 2023",1.0,4.1 and up
Sample App 60,SOCIAL,1.1,54824,13M,"1,000+",Paid,0,Everyone,SHOPPING,"July 1, 2023",1.0,4.1 and up
Sample App 61,SHOPPING,1.1,14099,12M,"100,000+",Free,0,Teen,ENTERTAINMENT,"July 1, 2023",1.0,4.1 and up
Sample App 62,COMMUNICATION,4.2,97134,24M,"10,000+",Free,0,Mature 17+,SOCIAL,"July 1, 2023",1.0,4.1 and up
Sample App 63,EDUCATION,4.4,93682,76M,"1,000,000+",Free,0,Everyone,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 64,SHOPPING,4.0,26416,48M,"1,000+",Free,0,Teen,TRAVEL,"July 1, 2023",1.0,4.1 and up
Sample App 65,FINANCE,1.1,11594,99M,100+,Paid,0,Everyone 10+,COMMUNICATION,"July 1, 2023",1.0,4.1 and up
Sample App 66,PRODUCTIVITY,3.9,45059,16M,"1,000,000+",Free,0,Teen,GAME,"July 1, 2023",1.0,4.1 and up
Sample App 67,ENTERTAINMENT,1.6,59304,77M,"10,000+",Free,$9.99,Teen,GAME,"July 1, 2023",1.0,4.1 and up
Sample App 68,SOCIAL,2.7,36807,14M,"1,000,000+",Free,0,Mature 17+,FINANCE,"July 1, 2023",1.0,4.1 and up
Sample App 69,HEALTH_AND_FITNESS,2.0,11767,73M,"1,000+",Paid,0,Teen,ENTERTAINMENT,"July 1, 2023",1.0,4.1 and up
Sample App 70,HEALTH_AND_FITNESS,2.0,13781,72M,"1,000+",Free,0,Everyone 10+,COMMUNICATION,"July 1, 2023",1.0,4.1 and up
Sample App 71,FINANCE,1.7,17686,71M,"10,000+",Paid,0,Everyone,FINANCE,"July 1, 2023",1.0,4.1 and up
Sample App 72,SOCIAL,4.3,40003,34M,100+,Free,$7.99,Teen,SHOPPING,"July 1, 2023",1.0,4.1 and up
Sample App 73,FINANCE,2.9,15021,77M,"1,000+",Paid,0,Teen,SHOPPING,"July 1, 2023",1.0,4.1 and up
Sample App 74,COMMUNICATION,4.4,68756,8M,"1,000+",Paid,0,Teen,EDUCATION,"July 1, 2023",1.0,4.1 and up
Sample App 75,PRODUCTIVITY,3.0,86998,96M,"1,000,000+",Free,0,Everyone 10+,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 76,SOCIAL,3.7,48171,32M,"10,000+",Free,0,Everyone,ENTERTAINMENT,"July 1, 2023",1.0,4.1 and up
Sample App 77,SHOPPING,3.3,23417,16M,"10,000+",Paid,$8.99,Everyone,PRODUCTIVITY,"July 1, 2023",1.0,4.1 and up
Sample App 78,SOCIAL,2.9,70196,95M,100+,Paid,0,Mature 17+,TRAVEL,"July 1, 2023",1.0,4.1 and up
Sample App 79,TRAVEL,2.2,43145,74M,"1,000+",Free,0,Everyone,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 80,HEALTH_AND_FITNESS,1.4,384,6M,"100,000+",Paid,0,Mature 17+,GAME,"July 1, 2023",1.0,4.1 and up
Sample App 81,COMMUNICATION,4.5,71356,38M,"1,000+",Paid,$1.99,Teen,PRODUCTIVITY,"July 1, 2023",1.0,4.1 and up
Sample App 82,GAME,2.8,54586,87M,100+,Free,0,Mature 17+,PRODUCTIVITY,"July 1, 2023",1.0,4.1 and up
Sample App 83,ENTERTAINMENT,2.3,14861,91M,"1,000+",Paid,0,Everyone 10+,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 84,PRODUCTIVITY,2.4,90864,82M,100+,Paid,0,Everyone,EDUCATION,"July 1, 2023",1.0,4.1 and up
Sample App 85,PRODUCTIVITY,4.4,20116,51M,"1,000+",Free,0,Everyone 10+,COMMUNICATION,"July 1, 2023",1.0,4.1 and up
Sample App 86,SHOPPING,2.7,23437,88M,"1,000+",Paid,0,Teen,SOCIAL,"July 1, 2023",1.0,4.1 and up
Sample App 87,SOCIAL,2.5,75007,42M,"100,000+",Free,0,Everyone,PRODUCTIVITY,"July 1, 2023",1.0,4.1 and up
Sample App 88,SOCIAL,3.1,31458,63M,"1,000+",Paid,0,Mature 17+,FINANCE,"July 1, 2023",1.0,4.1 and up
Sample App 89,FINANCE,4.6,79496,65M,"1,000+",Paid,$5.99,Mature 17+,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 90,SOCIAL,4.8,52255,89M,100+,Free,0,Teen,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 91,HEALTH_AND_FITNESS,1.9,41588,27M,"100,000+",Paid,0,Everyone 10+,PRODUCTIVITY,"July 1, 2023",1.0,4.1 and up
Sample App 92,SHOPPING,3.9,31405,63M,100+,Free,0,Teen,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 93,SHOPPING,1.5,2718,80M,"1,000+",Paid,0,Teen,SHOPPING,"July 1, 2023",1.0,4.1 and up
Sample App 94,ENTERTAINMENT,2.0,71167,58M,100+,Free,0,Mature 17+,ENTERTAINMENT,"July 1, 2023",1.0,4.1 and up
Sample App 95,FINANCE,1.9,85781,54M,100+,Free,0,Everyone,SOCIAL,"July 1, 2023",1.0,4.1 and up
Sample App 96,GAME,3.6,37614,79M,"10,000+",Free,$4.99,Everyone,GAME,"July 1, 2023",1.0,4.1 and up
Sample App 97,FINANCE,1.1,44987,18M,"1,000+",Free,0,Teen,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 98,TRAVEL,1.4,41708,77M,100+,Paid,$9.99,Everyone,GAME,"July 1, 2023",1.0,4.1 and up
Sample App 99,SHOPPING,4.1,23650,48M,"10,000+",Free,$6.99,Everyone,SHOPPING,"July 1, 2023",1.0,4.1 and up
Sample App 100,ENTERTAINMENT,1.4,73393,20M,"100,000+",Paid,0,Everyone,PRODUCTIVITY,"July 1, 2023",1.0,4.1 and up
Sample App 101,HEALTH_AND_FITNESS,2.7,17341,7M,"10,000+",Free,0,Teen,EDUCATION,"July 1, 2023",1.0,4.1 and up
Sample App 102,TRAVEL,1.8,70076,10M,"100,000+",Paid,0,Everyone 10+,EDUCATION,"July 1, 2023",1.0,4.1 and up
Sample App 103,EDUCATION,4.0,36372,58M,"1,000+",Paid,0,Everyone 10+,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 104,COMMUNICATION,4.3,16594,44M,"1,000+",Free,0,Everyone 10+,ENTERTAINMENT,"July 1, 2023",1.0,4.1 and up
Sample App 105,EDUCATION,1.1,1702,17M,"1,000,000+",Paid,0,Teen,FINANCE,"July 1, 2023",1.0,4.1 and up
Sample App 106,SHOPPING,3.3,33127,85M,"10,000+",Free,$5.99,Everyone,SHOPPING,"July 1, 2023",1.0,4.1 and up
Sample App 107,HEALTH_AND_FITNESS,1.1,19297,22M,100+,Free,0,Everyone,TRAVEL,"July 1, 2023",1.0,4.1 and up
Sample App 108,FINANCE,3.0,82502,74M,"100,000+",Paid,0,Everyone 10+,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 109,SOCIAL,1.5,86743,76M,"1,000,000+",Free,0,Everyone,GAME,"July 1, 2023",1.0,4.1 and up
Sample App 110,SOCIAL,1.6,4175,33M,"10,000+",Free,$9.99,Teen,EDUCATION,"July 1, 2023",1.0,4.1 and up
Sample App 111,HEALTH_AND_FITNESS,2.2,71141,85M,"1,000,000+",Free,0,Everyone 10+,TRAVEL,"July 1, 2023",1.0,4.1 and up
Sample App 112,HEALTH_AND_FITNESS,1.6,45625,99M,"1,000+",Free,0,Everyone,SHOPPING,"July 1, 2023",1.0,4.1 and up
Sample App 113,COMMUNICATION,2.4,46112,99M,100+,Free,0,Mature 17+,EDUCATION,"July 1, 2023",1.0,4.1 and up
Sample App 114,SOCIAL,1.7,94575,57M,"1,000+",Paid,$3.99,Everyone 10+,TRAVEL,"July 1, 2023",1.0,4.1 and up
Sample App 115,SOCIAL,2.3,43487,52M,"10,000+",Paid,0,Mature 17+,GAME,"July 1, 2023",1.0,4.1 and up
Sample App 116,PRODUCTIVITY,2.7,98840,100M,100+,Paid,0,Mature 17+,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 117,EDUCATION,3.3,47309,34M,"10,000+",Paid,$10.99,Teen,EDUCATION,"July 1, 2023",1.0,4.1 and up
Sample App 118,FINANCE,3.5,20458,13M,100+,Paid,0,Everyone,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 119,FINANCE,5.0,38635,28M,"100,000+",Paid,0,Mature 17+,EDUCATION,"July 1, 2023",1.0,4.1 and up
Sample App 120,GAME,1.1,32647,12M,"100,000+",Free,$8.99,Mature 17+,FINANCE,"July 1, 2023",1.0,4.1 and up
Sample App 121,PRODUCTIVITY,2.5,34678,99M,"10,000+",Free,0,Everyone,EDUCATION,"July 1, 2023",1.0,4.1 and up
Sample App 122,SOCIAL,4.3,15496,52M,"10,000+",Paid,$8.99,Everyone,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 123,ENTERTAINMENT,1.5,90769,95M,"1,000+",Free,0,Everyone 10+,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 124,PRODUCTIVITY,4.3,97141,96M,"1,000+",Free,0,Teen,EDUCATION,"July 1, 2023",1.0,4.1 and up
Sample App 125,EDUCATION,2.9,98775,93M,"100,000+",Paid,0,Mature 17+,ENTERTAINMENT,"July 1, 2023",1.0,4.1 and up
Sample App 126,SHOPPING,4.8,24811,47M,100+,Free,0,Everyone 10+,TRAVEL,"July 1, 2023",1.0,4.1 and up
Sample App 127,PRODUCTIVITY,3.3,80227,13M,"1,000,000+",Paid,$10.99,Teen,TRAVEL,"July 1, 2023",1.0,4.1 and up
Sample App 128,ENTERTAINMENT,3.8,40822,82M,"100,000+",Paid,0,Everyone 10+,GAME,"July 1, 2023",1.0,4.1 and up
Sample App 129,HEALTH_AND_FITNESS,1.1,64588,81M,"1,000,000+",Paid,0,Everyone 10+,TRAVEL,"July 1, 2023",1.0,4.1 and up
Sample App 130,TRAVEL,2.6,55074,39M,"100,000+",Free,0,Teen,PRODUCTIVITY,"July 1, 2023",1.0,4.1 and up
Sample App 131,ENTERTAINMENT,2.0,49916,65M,"10,000+",Paid,0,Everyone 10+,COMMUNICATION,"July 1, 2023",1.0,4.1 and up
Sample App 132,GAME,4.6,68510,9M,"1,000,000+",Paid,0,Teen,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 133,COMMUNICATION,3.4,68884,42M,"10,000+",Paid,$10.99,Everyone,ENTERTAINMENT,"July 1, 2023",1.0,4.1 and up
Sample App 134,PRODUCTIVITY,4.6,47435,54M,"100,000+",Free,0,Teen,ENTERTAINMENT,"July 1, 2023",1.0,4.1 and up
Sample App 135,COMMUNICATION,4.0,6110,43M,"100,000+",Free,0,Everyone 10+,SOCIAL,"July 1, 2023",1.0,4.1 and up
Sample App 136,GAME,3.5,825,26M,"10,000+",Free,$5.99,Mature 17+,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 137,TRAVEL,4.6,35194,52M,"1,000,000+",Free,0,Teen,GAME,"July 1, 2023",1.0,4.1 and up
Sample App 138,GAME,1.8,16993,15M,"10,000+",Paid,0,Mature 17+,PRODUCTIVITY,"July 1, 2023",1.0,4.1 and up
Sample App 139,SHOPPING,3.5,10194,77M,"1,000,000+",Paid,0,Mature 17+,FINANCE,"July 1, 2023",1.0,4.1 and up
Sample App 140,COMMUNICATION,2.8,10509,19M,100+,Free,0,Everyone,GAME,"July 1, 2023",1.0,4.1 and up
Sample App 141,SHOPPING,1.1,79764,25M,"1,000,000+",Free,$2.99,Everyone 10+,COMMUNICATION,"July 1, 2023",1.0,4.1 and up
Sample App 142,GAME,1.8,19323,80M,"10,000+",Paid,$6.99,Everyone,EDUCATION,"July 1, 2023",1.0,4.1 and up
Sample App 143,ENTERTAINMENT,2.1,10571,77M,"1,000,000+",Paid,0,Everyone,GAME,"July 1, 2023",1.0,4.1 and up
Sample App 144,GAME,4.4,95787,27M,"100,000+",Paid,0,Mature 17+,SHOPPING,"July 1, 2023",1.0,4.1 and up
Sample App 145,HEALTH_AND_FITNESS,4.4,56616,76M,"100,000+",Paid,0,Mature 17+,PRODUCTIVITY,"July 1, 2023",1.0,4.1 and up
Sample App 146,SHOPPING,2.2,91637,64M,"1,000,000+",Paid,0,Everyone,SHOPPING,"July 1, 2023",1.0,4.1 and up
Sample App 147,ENTERTAINMENT,4.6,38464,26M,"1,000,000+",Free,0,Everyone 10+,SHOPPING,"July 1, 2023",1.0,4.1 and up
Sample App 148,COMMUNICATION,2.5,63188,52M,"100,000+",Paid,$3.99,Mature 17+,SHOPPING,"July 1, 2023",1.0,4.1 and up
Sample App 149,TRAVEL,2.7,12695,82M,"1,000,000+",Paid,$2.99,Everyone,SOCIAL,"July 1, 2023",1.0,4.1 and up
Sample App 150,TRAVEL,3.0,89592,6M,"1,000+",Free,0,Everyone 10+,ENTERTAINMENT,"July 1, 2023",1.0,4.1 and up
Sample App 151,TRAVEL,3.5,22686,3M,"100,000+",Paid,0,Mature 17+,SHOPPING,"July 1, 2023",1.0,4.1 and up
Sample App 152,FINANCE,1.3,38115,54M,"10,000+",Paid,0,Mature 17+,FINANCE,"July 1, 2023",1.0,4.1 and up
Sample App 153,SOCIAL,4.3,38912,39M,"1,000,000+",Paid,0,Teen,COMMUNICATION,"July 1, 2023",1.0,4.1 and up
Sample App 154,SOCIAL,2.6,7177,12M,"100,000+",Free,$9.99,Mature 17+,FINANCE,"July 1, 2023",1.0,4.1 and up
Sample App 155,PRODUCTIVITY,3.6,49261,7M,"1,000,000+",Free,0,Teen,COMMUNICATION,"July 1, 2023",1.0,4.1 and up
Sample App 156,EDUCATION,4.6,6902,45M,"100,000+",Free,0,Mature 17+,PRODUCTIVITY,"July 1, 2023",1.0,4.1 and up
Sample App 157,SHOPPING,3.9,80252,87M,"1,000,000+",Paid,$3.99,Everyone,TRAVEL,"July 1, 2023",1.0,4.1 and up
Sample App 158,FINANCE,3.8,99391,69M,"1,000+",Free,$10.99,Teen,SHOPPING,"July 1, 2023",1.0,4.1 and up
Sample App 159,EDUCATION,2.5,84913,18M,100+,Free,0,Mature 17+,FINANCE,"July 1, 2023",1.0,4.1 and up
Sample App 160,EDUCATION,4.4,2157,17M,"1,000+",Free,0,Everyone 10+,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 161,SOCIAL,1.6,34003,13M,"100,000+",Free,0,Everyone,SHOPPING,"July 1, 2023",1.0,4.1 and up
Sample App 162,FINANCE,2.8,41344,80M,"1,000+",Paid,0,Everyone 10+,GAME,"July 1, 2023",1.0,4.1 and up
Sample App 163,EDUCATION,4.2,90351,22M,"100,000+",Paid,$6.99,Mature 17+,EDUCATION,"July 1, 2023",1.0,4.1 and up
Sample App 164,EDUCATION,3.7,67302,5M,100+,Free,0,Everyone,SOCIAL,"July 1, 2023",1.0,4.1 and up
Sample App 165,GAME,2.4,46152,42M,"1,000,000+",Paid,$3.99,Mature 17+,TRAVEL,"July 1, 2023",1.0,4.1 and up
Sample App 166,SOCIAL,4.3,15739,4M,"100,000+",Free,0,Everyone 10+,EDUCATION,"July 1, 2023",1.0,4.1 and up
Sample App 167,COMMUNICATION,3.0,72068,98M,"1,000,000+",Paid,0,Teen,EDUCATION,"July 1, 2023",1.0,4.1 and up
Sample App 168,GAME,4.7,4495,84M,100+,Free,$5.99,Everyone 10+,GAME,"July 1, 2023",1.0,4.1 and up
Sample App 169,SOCIAL,1.9,7656,51M,"1,000+",Free,0,Teen,SHOPPING,"July 1, 2023",1.0,4.1 and up
Sample App 170,GAME,1.6,46339,99M,"10,000+",Free,$9.99,Mature 17+,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 171,SHOPPING,2.5,73261,36M,"100,000+",Free,0,Teen,SHOPPING,"July 1, 2023",1.0,4.1 and up
Sample App 172,COMMUNICATION,2.1,11842,95M,"1,000+",Paid,0,Everyone,FINANCE,"July 1, 2023",1.0,4.1 and up
Sample App 173,SHOPPING,4.4,12994,40M,"1,000+",Free,$6.99,Mature 17+,SOCIAL,"July 1, 2023",1.0,4.1 and up
Sample App 174,HEALTH_AND_FITNESS,4.3,63968,99M,100+,Paid,$8.99,Mature 17+,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 175,PRODUCTIVITY,1.5,2225,18M,100+,Free,0,Everyone,SHOPPING,"July 1, 2023",1.0,4.1 and up
Sample App 176,GAME,5.0,92890,49M,"1,000+",Paid,$9.99,Everyone 10+,EDUCATION,"July 1, 2023",1.0,4.1 and up
Sample App 177,GAME,4.5,28947,39M,"100,000+",Paid,0,Everyone,ENTERTAINMENT,"July 1, 2023",1.0,4.1 and up
Sample App 178,SHOPPING,1.9,36010,54M,"1,000+",Paid,0,Everyone 10+,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 179,COMMUNICATION,4.5,9644,1M,"10,000+",Free,0,Mature 17+,TRAVEL,"July 1, 2023",1.0,4.1 and up
Sample App 180,TRAVEL,3.7,8455,16M,100+,Paid,$2.99,Everyone 10+,TRAVEL,"July 1, 2023",1.0,4.1 and up
Sample App 181,COMMUNICATION,3.4,38024,95M,"1,000,000+",Free,$10.99,Teen,SOCIAL,"July 1, 2023",1.0,4.1 and up
Sample App 182,TRAVEL,4.2,4398,42M,100+,Free,0,Mature 17+,TRAVEL,"July 1, 2023",1.0,4.1 and up
Sample App 183,SOCIAL,1.2,57762,52M,"1,000+",Free,0,Mature 17+,FINANCE,"July 1, 2023",1.0,4.1 and up
Sample App 184,PRODUCTIVITY,2.2,76880,56M,"1,000+",Paid,0,Teen,PRODUCTIVITY,"July 1, 2023",1.0,4.1 and up
Sample App 185,GAME,4.2,80868,99M,"1,000,000+",Paid,0,Mature 17+,TRAVEL,"July 1, 2023",1.0,4.1 and up
Sample App 186,FINANCE,3.4,30077,80M,"1,000+",Free,0,Mature 17+,EDUCATION,"July 1, 2023",1.0,4.1 and up
Sample App 187,FINANCE,5.0,79831,99M,"1,000,000+",Paid,0,Teen,EDUCATION,"July 1, 2023",1.0,4.1 and up
Sample App 188,ENTERTAINMENT,3.0,252,58M,"1,000+",Free,0,Everyone,SOCIAL,"July 1, 2023",1.0,4.1 and up
Sample App 189,SOCIAL,4.6,44398,83M,"100,000+",Paid,0,Teen,ENTERTAINMENT,"July 1, 2023",1.0,4.1 and up
Sample App 190,PRODUCTIVITY,3.8,47726,5M,"1,000+",Free,0,Everyone,ENTERTAINMENT,"July 1, 2023",1.0,4.1 and up
Sample App 191,COMMUNICATION,3.7,57607,47M,"1,000,000+",Paid,0,Teen,ENTERTAINMENT,"July 1, 2023",1.0,4.1 and up
Sample App 192,PRODUCTIVITY,1.1,69108,40M,"1,000+",Paid,$5.99,Everyone,SOCIAL,"July 1, 2023",1.0,4.1 and up
Sample App 193,SHOPPING,2.5,90925,3M,"1,000,000+",Paid,0,Teen,GAME,"July 1, 2023",1.0,4.1 and up
Sample App 194,ENTERTAINMENT,2.0,84664,41M,"100,000+",Paid,$8.99,Mature 17+,GAME,"July 1, 2023",1.0,4.1 and up
